"county","unemp_rate_mar_2020","industry","job_count"
"Dare County",6,"finance_insurance",353
"Dare County",6,"real_estate_rental_leasing",1918
"Dare County",6,"professional_technical_services",497
"Dare County",6,"mgt_of_companies_enterprises",NA
"Dare County",6,"administrative_waste_services",807
"Dare County",6,"educational_services",895
"Dare County",6,"health_care_social_assistance",931
"Dare County",6,"arts_entertain_recreation",479
"Dare County",6,"accommodation_food_services",4124
"Dare County",6,"other_services_ex__public_admin",492
"Dare County",6,"public_admin",1794
"Dare County",6,"unclassified",0
"Davidson County",3.2,"all_industries",42578
"Davidson County",3.2,"agriculture_forestry_fishing_hunting",NA
"Davidson County",3.2,"mining",NA
"Davidson County",3.2,"utilities",127
"Davidson County",3.2,"construction",2241
"Davidson County",3.2,"manufacturing",9606
"Davidson County",3.2,"wholesale_trade",1915
"Davidson County",3.2,"retail_trade",5174
"Davidson County",3.2,"transportation_warehousing",1913
"Davidson County",3.2,"information",124
"Davidson County",3.2,"finance_insurance",590
"Davidson County",3.2,"real_estate_rental_leasing",404
"Davidson County",3.2,"professional_technical_services",737
